sec,nanosec,frame_id,x,y,z
1742252320,991087795,base_link,1.1949395647409153,0.3165011437196319,0.0
1742252321,992149669,base_link,1.198540728714895,0.30533770726595416,0.0
1742252322,991281993,base_link,1.2021143978327586,0.3168343812799292,0.0
1742252323,998304101,base_link,1.1957642577661276,0.3229992637265553,0.0
1742252324,991976933,base_link,1.1980871493165768,0.29696975611306065,0.0
1742252325,992378438,base_link,1.1958742191259741,0.31226162870838814,0.0
1742252326,992135898,base_link,1.1976060727296232,0.3313116750628774,0.0
1742252327,992431537,base_link,1.1884382335235157,0.3121320356784505,0.0
1742252328,992479550,base_link,1.1935513333172432,0.3049119033518346,0.0
1742252329,993144712,base_link,1.1913796370266414,0.3229252099745936,0.0
1742252330,992944717,base_link,1.2059354798830841,0.30650403595249776,0.0
1742252331,994007627,base_link,1.1954481269934263,0.31387227466574474,0.0
1742252332,993201991,base_link,1.198829371477751,0.30942911539316414,0.0
1742252333,993341768,base_link,1.4425262847304103,0.307522306180709,0.0
1742252334,993562301,base_link,1.8167996728291278,0.257351719687271,0.0
1742252335,993944618,base_link,2.1728885263777866,0.3650243788900014,0.0
1742252336,993924924,base_link,2.5388736733113118,0.5215718113386348,0.0
1742252337,994125587,base_link,2.8842414497736137,0.7208476352853377,0.0
1742252338,994395690,base_link,3.2009236190318773,0.9290468072323055,0.0
1742252339,994814513,base_link,3.488067960774209,1.2222028864201677,0.0
1742252340,994628183,base_link,3.7087419926833616,1.5262446825810887,0.0
1742252341,996999752,base_link,3.872993244003138,1.823991977027247,0.0
1742252342,994734602,base_link,4.044474269983781,2.16091313521315,0.0
1742252343,995058286,base_link,4.110270859893708,2.475340740947071,0.0
1742252344,995087326,base_link,4.214333183648379,2.831385961337449,0.0
1742252345,995509076,base_link,4.3039908219787115,3.2423041911264834,0.0
1742252346,995473585,base_link,4.323494584265186,3.613641235996891,0.0
1742252347,995676044,base_link,4.24013160375068,4.0387034173321394,0.0
1742252348,996116793,base_link,4.146597488906782,4.348780337560195,0.0
1742252349,996163264,base_link,4.073268473535794,4.463154617900833,0.0
1742252350,996308774,base_link,3.9897544755326337,4.6222752102478655,0.0
1742252351,997514966,base_link,3.8808672897758716,5.034989103072245,0.0
1742252352,996625537,base_link,3.647863875143759,5.389553084511206,0.0
1742252353,996672088,base_link,3.447078494616121,5.718217175285602,0.0
1742252354,996970720,base_link,3.1491443216347643,6.05524917737567,0.0
1742252355,997124697,base_link,2.874590245916523,6.3178027451272545,0.0
1742252356,997108282,base_link,2.4406368292553013,6.596573797654667,0.0
1742252357,997910072,base_link,1.9745754419693213,6.775577428576476,0.0
1742252358,997512471,base_link,1.4799934549765723,6.957839402026638,0.0
1742252359,998610484,base_link,1.0470160373308373,7.122402835185543,0.0
1742252360,997953799,base_link,0.5644333841573341,7.203953265125688,0.0
1742252361,999181654,base_link,0.09313528785527997,7.210784600676341,0.0
1742252362,998269663,base_link,-0.41666221219644883,7.1364172341873315,0.0
1742252363,998784239,base_link,-0.8534881778627296,6.995180348423727,0.0
1742252364,998610550,base_link,-1.1369625488528725,6.9120007451057255,0.0
1742252365,998913212,base_link,-1.4171519122122869,6.7622848433197245,0.0
1742252366,999065605,base_link,-1.7245286614613937,6.603886283983151,0.0
1742252367,999164339,base_link,-1.88685570549004,6.493881106871465,0.0
1742252368,999194182,base_link,-2.1260441315712653,6.332668547936432,0.0
1742252369,999477127,base_link,-2.441489160468907,6.1706044180755875,0.0
1742252370,999624492,base_link,-2.605561809695346,6.10034702051701,0.0
1742252372,347060,base_link,-2.8339605331591926,5.945725168334679,0.0
1742252373,10809,base_link,-3.0129877007359864,5.694057297153671,0.0
1742252374,101580,base_link,-3.20569107570841,5.3518230423980375,0.0
